,lambda,Qc
0,1.0,192153760.2316142
1,1.1071428571428572,79637615.9775667
2,1.2142857142857142,37464987.08709198
3,1.3214285714285714,19358673.515371397
4,1.4285714285714286,10743081.866590392
5,1.5357142857142856,6303017.588580301
6,1.6428571428571428,3864656.3926645243
7,1.75,2455517.1369476435
8,1.8571428571428572,1606673.8859708582
9,1.9642857142857142,1077829.7243409348
10,2.071428571428571,738530.4058452152
11,2.178571428571429,515516.2435101371
12,2.2857142857142856,366016.606328274
13,2.392857142857143,263983.23236356495
14,2.5,193257.64795702908
